'- 송전단 기준 전력수요 예측값을 매 5분 단위로 제공합니다.

시간,수요예측MW
2025-01-01,58260.21875
2025-01-01 00:05:00,57656.824219
2025-01-01 00:10:00,57287.425781
2025-01-01 00:15:00,57032.867188
2025-01-01 00:20:00,56746.589844
2025-01-01 00:25:00,56577.46875
2025-01-01 00:30:00,56387.160156
2025-01-01 00:35:00,56212.324219
2025-01-01 00:40:00,55910.804688
2025-01-01 00:45:00,55604.449219
2025-01-01 00:50:00,55270.0
2025-01-01 00:55:00,55249.386719
2025-01-01 01:00:00,55014.515625
2025-01-01 01:05:00,54833.0
2025-01-01 01:10:00,54589.269531
2025-01-01 01:15:00,54217.839844
2025-01-01 01:20:00,54157.320312
2025-01-01 01:25:00,53956.785156
2025-01-01 01:30:00,53711.898438
2025-01-01 01:35:00,53602.9375
2025-01-01 01:40:00,53390.0
2025-01-01 01:45:00,53147.011719
2025-01-01 01:50:00,52981.949219
2025-01-01 01:55:00,52986.746094
2025-01-01 02:00:00,52698.105469
2025-01-01 02:05:00,52565.765625
2025-01-01 02:10:00,52423.054688
2025-01-01 02:15:00,52319.265625
2025-01-01 02:20:00,52308.332031
2025-01-01 02:25:00,52457.042969
2025-01-01 02:30:00,52531.410156
2025-01-01 02:35:00,52496.0
2025-01-01 02:40:00,52633.183594
2025-01-01 02:45:00,52729.386719
2025-01-01 02:50:00,52899.941406
2025-01-01 02:55:00,52972.769531
2025-01-01 03:00:00,52895.550781
2025-01-01 03:05:00,52771.0
2025-01-01 03:10:00,53016.015625
2025-01-01 03:15:00,53223.828125
2025-01-01 03:20:00,53216.695312
2025-01-01 03:25:00,53237.21875
2025-01-01 03:30:00,53259.667969
2025-01-01 03:35:00,53097.632812
2025-01-01 03:40:00,53076.355469
2025-01-01 03:45:00,52997.257812
2025-01-01 03:50:00,52937.632812
2025-01-01 03:55:00,52987.292969
2025-01-01 04:00:00,52947.105469
2025-01-01 04:05:00,52939.679688
2025-01-01 04:10:00,52897.5625
2025-01-01 04:15:00,52867.027344
2025-01-01 04:20:00,52849.832031
2025-01-01 04:25:00,52566.707031
2025-01-01 04:30:00,52558.980469
2025-01-01 04:35:00,52768.253906
2025-01-01 04:40:00,52625.269531
2025-01-01 04:45:00,52578.730469
2025-01-01 04:50:00,52593.933594
2025-01-01 04:55:00,52712.363281
2025-01-01 05:00:00,52994.109375
2025-01-01 05:05:00,53005.714844
2025-01-01 05:10:00,52722.949219
2025-01-01 05:15:00,52424.367188
2025-01-01 05:20:00,52028.675781
2025-01-01 05:25:00,51892.683594
2025-01-01 05:30:00,51901.9375
2025-01-01 05:35:00,52085.65625
2025-01-01 05:40:00,52304.25
2025-01-01 05:45:00,52435.625
2025-01-01 05:50:00,52216.386719
2025-01-01 05:55:00,52061.03125
2025-01-01 06:00:00,51925.105469
