datetime,solar_mwh_raw,wind_mwh_raw,renewable_mwh_raw,load_mw_raw,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,shortwave_radiation,wind_speed_10m,wind_direction_10m,date,hour,hour_sin,hour_cos,doy_sin,doy_cos,wind_direction_sin,wind_direction_cos,renewable_lag_1h,renewable_lag_24h,renewable_rolling_mean_24h,renewable_rolling_std_24h,forecast_renewable_raw_mwh,sigma_u_raw_mwh,renewable_scaled_mw,load_scaled_mw,forecast_renewable_scaled_mw,sigma_u_scaled_mw,sigma_heuristic_scaled_mw
2025-03-02 00:00:00,0.000312,1.366913,1.3672250000000001,51478.45735666667,16.4,93,0.0,95,0.0,7.3,171,2025-03-02,0,0.0,1.0,0.8674563547295968,0.49751328890718066,0.15643446504023098,-0.9876883405951377,1.603384,0.369228,16.82811775,23.33609576276752,1.8294815278319447,19.891061941604,1.036345700941449,167.21296274978982,1.3867324809891786,15.077267114294557,0.4680222123338478
2025-03-02 01:00:00,0.000368,1.40094,1.401308,49114.12695308333,16.2,92,0.0,100,0.0,7.7,164,2025-03-02,1,0.25881904510252074,0.9659258262890683,0.8674563547295968,0.49751328890718066,0.27563735581699966,-0.9612616959383187,1.3672250000000001,0.47612299999999996,16.869700958333333,23.306362313134745,1.6741851544540225,20.972049730901364,1.0621803444896487,159.53311545049272,1.269019062259995,15.89664728084251,0.4441566717909982
2025-03-02 02:00:00,0.000376,1.546414,1.5467899999999999,47981.262369833334,16.1,91,0.0,100,0.0,6.8,162,2025-03-02,2,0.49999999999999994,0.8660254037844387,0.8674563547295968,0.49751328890718066,0.3090169943749475,-0.9510565162951535,1.401308,0.257245,16.90825033333333,23.278816807831618,1.3626726220952463,21.268903837884885,1.1724545460763398,155.85333068058245,1.032895034613191,16.121660338370848,0.3615132621146169
2025-03-02 03:00:00,0.00032,1.608574,1.608894,47572.056315083326,15.9,91,0.0,100,0.0,4.8,149,2025-03-02,3,0.7071067811865475,0.7071067811865476,0.8674563547295968,0.49751328890718066,0.5150380749100544,-0.8571673007021122,1.5467899999999999,0.015507,16.961981375,23.24016890956277,1.7650892760761039,21.76975156791892,1.2195288852752777,154.5241425055013,1.3379236651168056,16.501298943462956,0.46827328279088193
2025-03-02 04:00:00,0.000312,0.921918,0.92223,47661.600260416664,15.1,92,0.0,100,0.0,2.7,132,2025-03-02,4,0.8660254037844386,0.5000000000000001,0.8674563547295968,0.49751328890718066,0.7431448254773942,-0.6691306063588582,1.608894,0.000562,17.0283725,23.19187815404869,2.904673724656085,22.620683922588302,0.6990430220184918,154.8150002577403,2.201719634430997,17.14629891607434,0.7706018720508488
2025-03-02 05:00:00,0.000312,0.69624,0.696552,48112.12076808334,14.8,93,0.0,100,0.0,1.9,146,2025-03-02,5,0.9659258262890683,0.25881904510252074,0.8674563547295968,0.49751328890718066,0.5591929034707469,-0.8290375725550416,0.92223,0.042775999999999995,17.066775333333332,23.163201686338002,3.176419818917374,24.755702658248815,0.5279808887945788,156.27838655046745,2.40770101755032,18.764626176131184,0.842695356142612
2025-03-02 06:00:00,0.00922,0.722122,0.731342,48769.7796225,15.5,91,0.0,97,0.0,5.2,166,2025-03-02,6,1.0,6.123233995736766e-17,0.8674563547295968,0.49751328890718066,0.24192189559966773,-0.9702957262759965,0.696552,0.16372599999999998,17.094016,23.142685795162464,4.902005940945976,16.869837073290405,0.5543514327326674,158.41460218652904,3.71568160536035,12.787202637815419,1.27262094983592
2025-03-02 07:00:00,6.879775,0.50101,7.380785,49308.930013,15.6,91,0.0,100,0.0,4.7,148,2025-03-02,7,0.9659258262890683,-0.25881904510252063,0.8674563547295968,0.49751328890718066,0.529919264233205,-0.848048096156426,0.731342,1.245756,17.117666666666665,23.124914843709245,8.637269145448599,32.51214007176424,5.5945764627790835,160.16587716236194,6.546981474709633,24.643944187517842,2.2914435161483713
2025-03-02 08:00:00,30.072693,0.36108,30.433773000000002,49639.952473833335,15.8,92,0.0,100,16.0,7.8,136,2025-03-02,8,0.8660254037844387,-0.49999999999999983,0.8674563547295968,0.49751328890718066,0.6946583704589971,-0.7193398003386513,7.380785,12.130251000000001,17.373292875,22.97526063848114,15.084350859614098,83.55137264455455,23.06855843915811,161.24110841937434,11.433818255849271,63.33127747659755,4.001836389547245
2025-03-02 09:00:00,65.021412,0.3393,65.36071199999999,49455.95279958333,16.4,96,0.0,94,71.0,8.5,128,2025-03-02,9,0.7071067811865476,-0.7071067811865475,0.8674563547295968,0.49751328890718066,0.788010753606722,-0.6156614753256583,30.433773000000002,30.871111,18.135939625000002,23.09711761027572,26.889425451836335,95.46844569440793,49.54290105262277,160.64343839862818,20.381971122380122,72.36432428529454,6.82796032599734
2025-03-02 10:00:00,89.37053,0.43855,89.80908000000001,49366.84407558333,19.1,92,0.0,18,232.0,6.9,129,2025-03-02,10,0.49999999999999994,-0.8660254037844387,0.8674563547295968,0.49751328890718066,0.777145961456971,-0.6293203910498373,65.36071199999999,65.733444,19.573006333333332,24.924580186867082,54.79695884432099,115.87082833247341,68.07456999653068,160.35399433771434,41.535659984989714,87.82916843012924,6.022670697823509
2025-03-02 11:00:00,54.851139,1.288324,56.139463000000006,48289.378255083335,20.7,86,0.0,35,413.0,3.9,74,2025-03-02,11,0.258819045102521,-0.9659258262890682,0.8674563547295968,0.49751328890718066,0.9612616959383189,0.27563735581699916,89.80908000000001,78.948886,20.57615783333333,27.24012910209335,71.54750923540912,127.81415655804733,42.55326748209808,156.85415651508572,54.23244426424682,96.88211645368513,10.16858329954628
2025-03-02 12:00:00,47.726869,1.812193,49.539062,48004.601888,20.7,91,0.1,100,518.0,5.2,56,2025-03-02,12,1.2246467991473532e-16,-1.0,0.8674563547295968,0.49751328890718066,0.8290375725550417,0.5591929034707468,56.139463000000006,47.342473999999996,19.625765208333334,25.45435979042438,54.53823018800394,121.30315151173595,37.55021589889879,155.92914239255276,41.339545716537536,91.94682629401655,14.468841000788137
