subject_id,seed,date,mode,analysis_type,total_curtailment_mwh,daily_curtailment_mwh,total_unserved_mwh,max_line_loading,mean_line_loading,final_soc_mwh,min_soc_mwh,max_soc_mwh,total_charge_mwh,total_discharge_mwh,ess_utilization_pct
2025-05-01,,2025-05-01,Heuristic_Rule,main_all_valid_may,0.0,0.0,2453.7587071925036,1.940146582815235,0.26420531476594444,0.0,0.0,400.0,231.57894736842104,380.0,152.89473684210526
2025-05-01,,2025-05-01,Deterministic_Opt,main_all_valid_may,51.08571926378745,51.08571926378745,2497.0825881593205,1.3214149087796685,0.2641745728980959,0.0,0.0,199.5,210.0,360.525,142.63125
2025-05-01,,2025-05-01,Rolling_Greedy,main_all_valid_may,0.0,0.0,2636.997418702441,1.3237286711270833,0.27049336385692024,203.31990495201893,47.32663034825492,203.31990495201893,166.36823940967213,127.9934263628111,73.59041644312082
2025-05-01,,2025-05-01,Stochastic_Proposed,main_all_valid_may,0.0,0.0,2688.274773065252,1.1068307138410909,0.2607975369458849,99.24624,99.24624,180.0,0.0,76.716072,19.179018
2025-05-01,,2025-05-01,SVR_ResidualQuantile,main_all_valid_may,0.0,0.0,2664.7037910652516,1.1068307138410909,0.25992570879534677,74.43468,74.43468,180.0,0.0,100.28705399999998,25.071763499999992
2025-05-02,,2025-05-02,Heuristic_Rule,main_all_valid_may,657.8958076929014,657.8958076929014,1563.7133988147111,1.11180165955501,0.20170731834303457,0.0,0.0,400.0,231.57894736842104,380.0,152.89473684210526
2025-05-02,,2025-05-02,Deterministic_Opt,main_all_valid_may,767.8282404924735,767.8282404924735,1625.49511863413,1.1267934872485474,0.20747136592019919,0.0,0.0,272.96444958763345,287.33099956593,430.3162271082518,179.4118066685454
2025-05-02,,2025-05-02,Rolling_Greedy,main_all_valid_may,647.0026278341782,647.0026278341782,1737.9363353407161,1.2804724527649103,0.21711468523094646,400.0,155.86802126078084,400.0,336.2889131285955,94.50074409855733,107.69741430678819
2025-05-02,,2025-05-02,Stochastic_Proposed,main_all_valid_may,665.7005704480384,665.7005704480384,1759.3003794392735,1.11180165955501,0.20449537531937254,158.014,158.014,235.0,57.89473684210527,73.13669999999999,32.75785921052632
2025-05-02,,2025-05-02,SVR_ResidualQuantile,main_all_valid_may,584.2445815967161,584.2445815967161,1708.420690895453,1.11180165955501,0.20087767953429733,158.014,135.0,235.0,105.26315789473684,115.8867,55.28746447368421
