subject_id,seed,date,hour,mode,analysis_type,actual_renewable_raw_mwh,forecast_renewable_raw_mwh,sigma_u_raw_mwh,actual_renewable_scaled_mw,forecast_renewable_scaled_mw,sigma_u_scaled_mw,sigma_heuristic_scaled_mw,total_load_raw_mw,total_load_scaled_mw,forecast_renewable_mw,actual_renewable_mw,sigma_u_mw,total_load_mw,ess_charge_mw,ess_discharge_mw,ess_soc_mwh,soc_total_mwh,soc_percent,curtailment_mw,curtailment_mwh,unserved_energy_mw,risk_score,line_overload_count,max_line_flow_before_mw,max_line_flow_after_mw,max_line_loading,mean_line_loading
2025-05-01,,2025-05-01,0,Heuristic_Rule,main_all_valid_may,7.101867,29.438591770104903,19.891061941604,5.383158832019562,22.31421896375398,15.077267114294557,7.698405542495123,50248.04687508333,163.2163281848012,22.31421896375398,5.383158832019562,15.077267114294557,163.2163281848012,0.0,0.0,180.0,180.0,45.0,0.0,0.0,128.45423027951742,2.210713168861987,1,80.94121411232243,80.94121411232243,1.0117651764040303,0.2861895157873679
2025-05-01,,2025-05-01,1,Heuristic_Rule,main_all_valid_may,4.474607,29.601362531237474,20.972049730901364,3.3917165995739644,22.43759790909122,15.89664728084251,7.853159268181926,48018.69433599999,155.9749176566822,22.43759790909122,3.3917165995739644,15.89664728084251,155.9749176566822,0.0,0.0,180.0,180.0,45.0,0.0,0.0,124.50771587890546,2.096167815868374,0,78.24384467820126,78.24384467820126,0.9780480584775157,0.27661306163082855
2025-05-01,,2025-05-01,2,Heuristic_Rule,main_all_valid_may,5.610889,29.647091783623786,21.268903837884885,4.253009339069769,22.47226031953414,16.121660338370848,7.865291111836949,47808.088541666664,155.29082530716295,22.47226031953414,4.253009339069769,16.121660338370848,155.290825307163,0.0,0.0,180.0,180.0,45.0,0.0,0.0,123.0854674128039,2.0830974574476393,0,77.4538704369505,77.4538704369505,0.9681733804618812,0.2738396513423256
2025-05-01,,2025-05-01,3,Heuristic_Rule,main_all_valid_may,11.250837,29.973057095225204,21.76975156791892,8.52804516955365,22.71933943916271,16.501298943462956,7.951768803706948,47765.81673183333,155.15351749092332,22.71933943916271,8.52804516955365,16.501298943462956,155.15351749092335,0.0,0.0,180.0,180.0,45.0,0.0,0.0,118.6978391730035,2.072214782926905,0,75.20340662942756,75.20340662942756,0.9400425828678445,0.265978190580884
2025-05-01,,2025-05-01,4,Heuristic_Rule,main_all_valid_may,9.630323,32.42638614604833,22.620683922588302,7.299708416484162,24.578943392290622,17.14629891607434,3.9940783012472263,47423.37760408333,154.0412024750361,24.578943392290622,7.299708416484162,17.14629891607434,154.04120247503613,0.0,0.0,180.0,180.0,45.0,0.0,0.0,119.01407761304547,2.023658303313629,0,75.25947859467216,75.25947859467216,0.940743482433402,0.2661498110387114
2025-05-01,,2025-05-01,5,Heuristic_Rule,main_all_valid_may,7.8179940000000006,34.56336127879308,24.755702658248815,5.925977415484681,26.198753585813126,18.764626176131184,3.602328618049305,47280.57226558333,153.5773404058675,26.198753585813126,5.925977415484681,18.764626176131184,153.5773404058675,0.0,0.0,180.0,180.0,45.0,0.0,0.0,120.00744171732666,1.9733752477660274,0,75.72217769155921,75.72217769155921,0.9465272211444902,0.267755443421402
2025-05-01,,2025-05-01,6,Heuristic_Rule,main_all_valid_may,18.844183,37.680103189202725,16.869837073290405,14.283741183641272,28.561219222264384,12.787202637815419,3.9271676430613534,46435.63020825,150.83278915057792,28.561219222264384,14.283741183641272,12.787202637815419,150.83278915057795,0.0,0.0,180.0,180.0,45.0,0.0,0.0,109.39914591983265,1.9955379710584926,0,70.0529007980815,70.0529007980815,0.8756612599760187,0.2478990298478918
2025-05-01,,2025-05-01,7,Heuristic_Rule,main_all_valid_may,57.833993,51.09232018297161,32.51214007176424,43.83770777584366,38.72757327634197,24.643944187517842,4.550489859970182,45526.41764316667,147.87947363602063,38.72757327634197,43.83770777584366,24.643944187517842,147.8794736360207,0.0,0.0,180.0,180.0,45.0,0.0,0.0,77.42346060569332,1.7930198682212497,0,53.4675449633348,53.4675449633348,0.668344312041685,0.1909189914301172
2025-05-01,,2025-05-01,8,Heuristic_Rule,main_all_valid_may,108.525551,72.5574118531776,83.55137264455455,82.26150649757864,54.997942434843374,63.33127747659755,11.274578199142892,45823.946939999994,148.84591198291332,54.997942434843374,82.26150649757864,63.33127747659755,148.84591198291335,0.0,0.0,180.0,180.0,45.0,0.0,0.0,39.79214132841031,3.7983514612913494,0,34.36878994642958,34.36878994642958,0.42960987433036973,0.15020860130736777
2025-05-01,,2025-05-01,9,Heuristic_Rule,main_all_valid_may,117.078487,88.14376150877996,95.46844569440793,88.74456411722966,66.81227179464425,72.36432428529454,18.206344064040554,47807.03841166667,155.28741426189103,66.81227179464425,88.74456411722966,72.36432428529454,155.2874142618911,0.0,0.0,180.0,180.0,45.0,0.0,0.0,38.59111557752104,4.946683437838611,0,34.36551349533401,34.36551349533401,0.4295689186916751,0.15358988224295378
2025-05-01,,2025-05-01,10,Heuristic_Rule,main_all_valid_may,86.877734,98.31613365442583,115.87082833247341,65.85263298903601,74.52284916231719,87.82916843012924,23.10208324031833,49466.33789066667,160.67717138010508,74.52284916231719,65.85263298903601,87.82916843012924,160.6771713801051,0.0,0.0,180.0,180.0,45.0,0.0,0.0,65.90264754265019,6.72201947114825,0,48.802796859738336,48.802796859738336,0.6100349607467292,0.1866352990159647
2025-05-01,,2025-05-01,11,Heuristic_Rule,main_all_valid_may,41.030930999999995,87.4001311356192,127.81415655804733,31.1011201137159,66.24860587256512,96.88211645368513,23.021390540716382,49559.77311191667,160.9806688229703,66.24860587256512,31.1011201137159,96.88211645368513,160.98066882297033,168.0,0.0,339.6,339.6,84.9,0.0,0.0,100.90302832111978,6.898724371687986,3,155.2117266252188,155.2117266252188,1.940146582815235,0.5282249542995753
2025-05-01,,2025-05-01,12,Heuristic_Rule,main_all_valid_may,45.353411,75.68596850878352,121.30315151173595,34.37752565443188,57.3693635544023,91.94682629401655,19.935853835154802,51245.2122395,166.45533307145388,57.3693635544023,34.37752565443188,91.94682629401655,166.4553330714539,63.578947368421034,0.0,400.0,400.0,100.0,0.0,0.0,102.11584746416032,5.7088035898362515,2,101.3207203803565,101.3207203803565,1.2665090047544563,0.34479262403260524
2025-05-01,,2025-05-01,13,Heuristic_Rule,main_all_valid_may,39.091513,68.40691689699038,127.61652588851113,29.631056659179553,51.85190019262004,96.73231397439459,18.148165067417015,53416.087565,173.50679719016762,51.85190019262004,29.631056659179553,96.73231397439459,173.50679719016765,0.0,0.0,400.0,400.0,100.0,0.0,0.0,112.6445170367579,5.641115393705834,0,73.85221952421401,73.85221952421401,0.9231527440526751,0.2616588911168079
2025-05-01,,2025-05-01,14,Heuristic_Rule,main_all_valid_may,12.561269,62.718160262876566,127.64864007808576,9.521342227152877,47.53986780477898,96.75665627526304,16.638953731672643,54547.30468741667,177.18123065739516,47.53986780477898,9.521342227152877,96.75665627526304,177.1812306573952,0.0,0.0,400.0,400.0,100.0,0.0,0.0,135.76726691191118,5.317042753300725,1,85.99120418920367,85.99120418920367,1.074890052365046,0.30412732491894695
2025-05-01,,2025-05-01,15,Heuristic_Rule,main_all_valid_may,10.066899,41.35334809549928,93.21053596730387,7.630629560212672,31.345509713694476,70.65284662887503,10.970928399793065,54735.664713666665,177.79306402751092,31.345509713694476,7.630629560212672,70.65284662887503,177.79306402751092,0.0,0.0,400.0,400.0,100.0,0.0,0.0,138.15968294234628,2.9973466547231307,1,87.2690832748471,87.2690832748471,1.090863540935589,0.308602897036186
2025-05-01,,2025-05-01,16,Heuristic_Rule,main_all_valid_may,5.410426,36.53767636191485,52.127486129278594,4.1010599757624675,27.69526875244415,39.512220849503834,9.693344063355452,54390.745442583335,176.67269297933163,27.69526875244415,4.1010599757624675,39.512220849503834,176.67269297933169,0.0,0.0,400.0,400.0,100.0,0.0,0.0,140.7705482672895,1.9467015866892046,2,88.49454213339986,88.49454213339986,1.1061817766674982,0.3128577667759944
2025-05-01,,2025-05-01,17,Heuristic_Rule,main_all_valid_may,2.997663,29.256984936553586,19.517703372855507,2.272204767263067,22.17656242498933,14.794264281818444,7.761796848746266,53861.93652341667,174.95500929876343,22.17656242498933,2.272204767263067,14.794264281818444,174.95500929876346,0.0,0.0,400.0,400.0,100.0,0.0,0.0,141.19090285772296,2.3904993920048963,2,88.54645710728727,88.54645710728727,1.1068307138410909,0.3130017119105046
2025-05-01,,2025-05-01,18,Heuristic_Rule,main_all_valid_may,1.5992819999999999,27.65826875899668,18.387585720791453,1.2122430655473988,20.964748248363943,13.937644069143408,7.337661886927379,54792.945638000005,177.97912463535826,20.964748248363943,1.2122430655473988,13.937644069143408,177.97912463535832,0.0,180.0,210.52631578947367,210.52631578947367,52.63157894736842,0.0,0.0,0.0,2.4716561162909687,0,21.52600469642317,21.52600469642317,0.2690750587052896,0.11910226156432388
2025-05-01,,2025-05-01,19,Heuristic_Rule,main_all_valid_may,1.17639,24.703985518711,22.23148522899024,0.8916942852350646,18.72542499474187,16.85128939465513,6.5538987481596545,55337.451822916664,179.7477963689472,18.72542499474187,0.8916942852350646,16.85128939465513,179.74779636894723,0.0,180.0,21.05263157894734,21.05263157894734,5.263157894736835,0.0,0.0,0.0,2.4821864717587845,0,21.49074169491526,21.49074169491526,0.2686342711864408,0.11785264148187909
2025-05-01,,2025-05-01,20,Heuristic_Rule,main_all_valid_may,2.970764,24.584340585809723,20.23059928059947,2.2518155387091534,18.634735084996464,15.334633722992507,6.522157279748762,54559.588541666664,177.2211312249063,18.634735084996464,2.2518155387091534,15.334633722992507,177.2211312249063,0.0,19.999999999999975,0.0,0.0,0.0,0.0,0.0,123.06951206571402,2.471047212929469,0,79.17927856556696,79.17927856556696,0.989740982069587,0.284314784724094
2025-05-01,,2025-05-01,21,Heuristic_Rule,main_all_valid_may,8.996212000000002,25.032548413172936,21.56337802749416,6.8190573102143945,18.97447306156665,16.344869437414378,6.641065571548326,53015.58658841666,172.20588495780035,18.97447306156665,6.8190573102143945,16.344869437414378,172.20588495780038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.38976835518193,2.3700885211666107,1,84.81821591985855,84.81821591985855,1.0602276989982318,0.29992317173873556
